"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,98,2,245,418,9,1
16,96,2,245,418,7,1
16,220,2,204,317,29,61
16,138,2,245,418,6,1
16,132,1,100,0,21,3
16,140,1,100,0,4,3
16,102,2,245,418,9,1
16,100,2,245,418,5,1
16,94,2,245,418,8,1
16,142,1,100,0,20,3
16,118,1,100,0,24,3
16,94,2,245,418,7,1
16,96,2,245,418,9,1
16,86,2,245,418,7,1
16,5133,1,100,0,25,313
16,13870,2,204,319,14,157
16,112,2,245,418,7,1
16,134,1,100,0,21,3
16,140,2,245,418,9,1
16,93,2,245,418,10,1
16,100,2,245,418,6,1
16,122,1,100,0,27,3
16,116,1,100,0,27,3
16,130,1,100,0,23,3
16,156,1,100,0,25,3
16,138,2,245,418,7,1
16,123,1,100,0,4,3
16,152,2,245,418,8,1
16,166,2,245,418,6,1
16,92,2,245,418,6,1
16,130,1,100,0,23,3
16,143,1,100,0,22,3
16,102,2,245,418,7,1
16,170,2,245,418,7,1
16,96,2,245,418,10,1
16,138,2,245,418,8,1
16,126,2,245,418,6,1
16,104,2,245,418,6,1
16,116,2,245,418,9,1
16,126,2,245,418,7,1
16,118,1,100,0,4,3
16,92,2,245,418,8,1
16,158,2,245,418,9,1
16,13849,2,204,319,14,157
16,142,1,100,0,4,3
16,126,1,100,0,27,3
16,130,1,100,0,28,3
16,124,2,245,418,7,1
16,14,2,245,418,8,2
16,152,1,100,0,17,3
